"Product","GHG.Emissions"
"Buffalo",55.395
"Beef",28.7707926829268
"Lobster",28.05
"Lamb",27.9142857142857
"Veal",21.5
"Sole",20.86
"Prawns/Shrimp",14.8463636363636
"Turbot",14.515
"Megrim",14.15
"Swordfish",12.84
"Cheddar Cheese",12.69
"Anglerfish",12.29
"Hake European",11.96
"Cephalopodsm Varied (Squid)",11.61
"Flatfish Varied",11.61
"Hake Senegal",11.61
"Shark",11.56
"Butter",11.51625
"Bigeye Tuna",11.44
"Porbeagle",11.44
"Shark Mako",11.44
"Pomfret Atlantic",9.77
"Mozarella Cranolo",9.72
"Hake Fillet",9.14
"Semi Hard Chees",8.79
"Cheese",8.735
"Semi-Hard",8.5
"Rhombus",8.41
"Natural",8.3
"Goats Cheese",8.18
"Fork Beard",8.01
"Mozarrella",7.915
"Camembert Cheese",7.55
"Mussels",7.542
"Octopus",7.35
"Raspberries and Other Berries (G)",7.35
"Diamond Fish",7.1775
"Rock Fish",6.94
"Squid",6.91
"Hake",6.88
"Ling",6.45
"Cuttlefish",6.39
"Turkey",6.04
"Pork",5.82317829457364
"Cream",5.325
"Rabbit",4.7
"Fish",4.3975
"Raspberries and Other Berries",4.27
"Chicken",4.11694736842105
"Kangaroo",4.1
"Eel",3.88
"Cucumbers and Gherkins (G)",3.79
"Whiting Blue",3.79
"Salmon",3.7647619047619
"Bufalo Milk",3.75142857142857
"Trout",3.731
"Bass",3.6
"Cod",3.582
"Sea Bass",3.53666666666667
"Alfonsino",3.49
"Pomfret",3.49
"Eggs",3.40179487179487
"Haddock",3.365
"Lettuce (G)",3.148
"Duck",3.085
"Rice",2.66037037037037
"Mackerel Atlantic",2.6
"Tuna",2.596
"Strawberries (G)",2.56
"Mackerel Horse",2.47
"Peas - Green – Shelled",2.46
"Tomatoes (G)",2.29435897435897
"Cod (Fish Stick)",2.14
"Hake (Fish Stick)",2.14
"Pollock (Fish Stick)",2.14
"Gherkins (G)",2.09
"Rapeseed and Mustard Seed",2.09
"Beans - Green",1.97666666666667
"Carp",1.80666666666667
"Coconuts (Incl. Copra)",1.78
"Zucchini/Button Squash (G)",1.77
"Peppers/Capsicums (G)",1.7625
"Almonds",1.74166666666667
"Mackeral",1.74083333333333
"Walnuts",1.615
"Cucumbers (G)",1.57333333333333
"Cahsew Nuts",1.5525
"Whiting",1.54
"Pistachios",1.525
"Emu",1.5
"Yogurt",1.42636363636364
"Goats Milk",1.41
"Sunflower Seed",1.41
"Pollock",1.4
"Cows Milk",1.39596958174905
"Maize Sweet Corn",1.38
"Melons (G)",1.36666666666667
"Eggplants (Aubergines)",1.35
"Flatfish",1.2
"Herring",1.1725
"Quinoa",1.15
"Pilchard",1.095
"Beans",1.054
"Fish (Mixed)",1.04
"Lentils",1.03
"Mackeral (Fish Stick",1.02
"Peas",1.015
"Ground Nuts",0.99
"Hazlenuts",0.965
"Asparagus",0.951481481481481
"Cranberries, Blueberries",0.915
"Soy-Milk",0.88375
"Ginger",0.88
"Oat Berry",0.88
"Sesame Seed",0.88
"Sorghum",0.88
"Peanuts",0.873333333333333
"Avocados",0.865
"Beans – French and Runner",0.85
"Currants and Gooseberries",0.84
"Peach",0.81
"Mushrooms",0.8
"Palm Nuts-Kernels (Nut Equiv.)/Oil",0.8
"Bananas",0.786470588235294
"Oatmeal",0.766666666666667
"Beans - Pinto  Usa Dried",0.73
"Pineapples",0.716666666666667
"Broccoli",0.702352941176471
"Chick Peas",0.673333333333333
"Oat",0.67
"Chillies",0.66
"Strawberries",0.648095238095238
"Melons",0.64
"Apples and Pears",0.63
"Pears and Apples",0.63
"Capsicums/Peppers",0.586666666666667
"Peppers/Capsicums",0.586666666666667
"Soybean",0.5775
"Garlic",0.57
"Olives",0.565
"Spinach",0.545
"Beans - Green Beans (Phaseolus Vulgaris L.)",0.52
"Kiwi Fruit",0.516666666666667
"Wheat",0.5118
"Grapefruit and Pomelo",0.51
"Tangerines, Mandarins Etc.",0.51
"Barley",0.488461538461538
"Artichokes",0.48
"Fennel",0.48
"Maize",0.48
"Cherries",0.4775
"Cowpeas",0.4775
"Graham Flour",0.47
"Millet",0.47
"Nuts Misc.",0.47
"Manderin",0.45
"Tomatoes",0.437884615384615
"Apricots",0.43
"Beans - Green Beans",0.43
"Cabbages, Other Brassicas",0.43
"Cereals Misc.",0.43
"Chestnuts",0.43
"Figs",0.43
"Citrus Fruit, Misc.",0.42
"Zucchini/Button Squash",0.4175
"Almond Milk",0.415
"Coconut-Milk",0.415
"Grapes",0.413333333333333
"Citrus Small",0.41
"Rye",0.41
"Peaches and Nectarines",0.405
"Oats",0.398
"Lettuce",0.381851851851852
"Watermelon",0.38
"Beans - Gigante/Butter",0.36
"Cauliflowers",0.355
"Carrots and Turnips",0.35
"Apples",0.348125
"Pumpkins",0.33375
"Oranges",0.3325
"Peas - Dry",0.33
"Dates",0.32
"Plums and Sloes",0.32
"Pears and Quinces",0.31
"Quinces and Pears",0.31
"Beans - Plake",0.303333333333333
"Cucumbers",0.293333333333333
"Peas - Green",0.29
"Rape Seed",0.29
"Swedes (Rutabage)",0.29
"Guavas",0.28
"Pears",0.27
"Rockmelon / Cantelope",0.25
"Cabbage",0.243333333333333
"Gherkins",0.2325
"Lemons and Limes",0.22
"Carrots",0.213333333333333
"Peas - Yellow Dried",0.205
"Starchy Root",0.2
"Potatoes",0.1976
"Onion",0.183333333333333
"Celery",0.18
"Beetroot",0.175
